total_nodes,success,task,scheduling_duration_msec,failure_reason,target_node_type,target_node,score,avg_pred_latency_slo,avg_pred_latency,avg_data_latency_slo,avg_data_latency,deg_C_over_recommended,deg_C_over_max
1118,True,extract-frames,1,,GroundStationNode,1108,100,100.0,185.0971194555153,,,,
1118,True,object-det,1,,GroundStationNode,1108,100,150.0,0.0,175.0,177.93402374320897,,
1118,True,prepare-ds,3,,GroundStationNode,1108,100,100.0,0.0,,,,
1118,True,extract-frames,2,,GroundStationNode,1108,100,100.0,281.64272468051274,,,,
1118,True,object-det,23,,GroundStationNode,1108,100,150.0,0.0,175.0,213.71994545060045,,
1118,True,prepare-ds,1,,GroundStationNode,1108,100,100.0,0.0,,,,
1118,True,extract-frames,1,,GroundStationNode,1108,100,100.0,353.0119344931554,,,,
1118,True,object-det,1,,GroundStationNode,1108,100,150.0,0.0,175.0,284.9742337275823,,
1118,True,prepare-ds,1,,GroundStationNode,1109,100,100.0,163.01851518475692,,,,
1118,True,extract-frames,1,,GroundStationNode,1109,100,100.0,301.7820585465988,,,,
1118,True,object-det,1,,GroundStationNode,1109,100,150.0,0.0,175.0,9.857229617392841,,
1118,True,prepare-ds,1,,GroundStationNode,1109,100,100.0,0.0,,,,
1118,True,extract-frames,1,,GroundStationNode,1109,100,100.0,332.0108598895078,,,,
1118,True,object-det,1,,GroundStationNode,1109,100,150.0,0.0,175.0,234.4421230578909,,
1118,True,prepare-ds,1,,GroundStationNode,1109,100,100.0,0.0,,,,
