total_nodes,success,task,scheduling_duration_msec,failure_reason,target_node_type,target_node,score,avg_pred_latency_slo,avg_pred_latency,avg_data_latency_slo,avg_data_latency,deg_C_over_recommended,deg_C_over_max
4472,True,extract-frames,6,,SatelliteNode,2647,100,100.0,22.143163488389742,,,-18.1,-28.1
4472,True,object-det,6,,SatelliteNode,569,100,150.0,147.07406746103598,175.0,141.2830445236096,14.0,4.0
4472,True,prepare-ds,6,,SatelliteNode,3943,100,100.0,161.89782656083065,,,4.849999999999994,-5.150000000000006
4472,True,extract-frames,5,,SatelliteNode,3742,100,100.0,44.104591939183365,,,-18.1,-28.1
4472,True,object-det,5,,SatelliteNode,212,100,150.0,103.54807413744318,175.0,105.23464302952586,-1.0,-11.0
4472,True,prepare-ds,5,,SatelliteNode,886,100,100.0,47.92399607283455,,,4.849999999999994,-5.150000000000006
4472,True,extract-frames,5,,SatelliteNode,1670,100,100.0,149.6606003593018,,,2.9000000000000057,-7.099999999999994
4472,True,object-det,6,,SatelliteNode,2536,100,150.0,165.54627527919484,175.0,192.1704796310001,-1.0,-11.0
4472,True,prepare-ds,5,,SatelliteNode,1582,100,100.0,78.92168147940747,,,4.849999999999994,-5.150000000000006
4472,True,extract-frames,5,,SatelliteNode,3093,100,100.0,172.82725277993296,,,-6.100000000000001,-16.1
4472,True,object-det,6,,SatelliteNode,1813,100,150.0,114.94925915980076,175.0,220.0916403512207,-1.0,-11.0
4472,True,prepare-ds,29,,SatelliteNode,3347,100,100.0,183.81493619981603,,,4.849999999999994,-5.150000000000006
4472,True,extract-frames,6,,SatelliteNode,413,100,100.0,246.6407249486806,,,-18.1,-28.1
4472,True,object-det,8,,SatelliteNode,319,100,150.0,85.55686502634907,175.0,87.74215632297313,-46.0,-56.0
4472,True,prepare-ds,5,,SatelliteNode,2072,100,100.0,178.5115701889048,,,4.849999999999994,-5.150000000000006
