total_nodes,success,task,scheduling_duration_msec,failure_reason,target_node_type,target_node,score,avg_pred_latency_slo,avg_pred_latency,avg_data_latency_slo,avg_data_latency,deg_C_over_recommended,deg_C_over_max
4472,True,extract-frames,6,,GroundStationNode,4432,100,100.0,111.00337525608312,,,,
4472,True,object-det,5,,GroundStationNode,4432,100,150.0,0.0,175.0,200.06677775750882,,
4472,True,prepare-ds,5,,GroundStationNode,4432,100,100.0,0.0,,,,
4472,True,extract-frames,25,,GroundStationNode,4432,100,100.0,205.0935363597344,,,,
4472,True,object-det,5,,GroundStationNode,4432,100,150.0,0.0,175.0,197.5966190317482,,
4472,True,prepare-ds,6,,GroundStationNode,4432,100,100.0,0.0,,,,
4472,True,extract-frames,5,,GroundStationNode,4432,100,100.0,111.41073867582486,,,,
4472,True,object-det,5,,GroundStationNode,4432,100,150.0,0.0,175.0,200.0495517122016,,
4472,True,prepare-ds,22,,GroundStationNode,4433,100,100.0,120.01721111153542,,,,
4472,True,extract-frames,5,,GroundStationNode,4433,100,100.0,145.72853466242321,,,,
4472,True,object-det,5,,GroundStationNode,4433,100,150.0,0.0,175.0,137.8908834592985,,
4472,True,prepare-ds,5,,GroundStationNode,4433,100,100.0,0.0,,,,
4472,True,extract-frames,5,,GroundStationNode,4433,100,100.0,167.2497946432435,,,,
4472,True,object-det,5,,GroundStationNode,4433,100,150.0,0.0,175.0,143.96258479806468,,
4472,True,prepare-ds,5,,GroundStationNode,4433,100,100.0,0.0,,,,
