total_nodes,success,task,scheduling_duration_msec,failure_reason,target_node_type,target_node,score,avg_pred_latency_slo,avg_pred_latency,avg_data_latency_slo,avg_data_latency,deg_C_over_recommended,deg_C_over_max
2236,True,extract-frames,2,,GroundStationNode,2216,100,100.0,201.8046168610486,,,,
2236,True,object-det,3,,GroundStationNode,2216,100,150.0,0.0,175.0,176.22195401356902,,
2236,True,prepare-ds,3,,GroundStationNode,2216,100,100.0,0.0,,,,
2236,True,extract-frames,2,,GroundStationNode,2216,100,100.0,265.50517399546334,,,,
2236,True,object-det,2,,GroundStationNode,2216,100,150.0,0.0,175.0,279.5545725143807,,
2236,True,prepare-ds,3,,GroundStationNode,2216,100,100.0,0.0,,,,
2236,True,extract-frames,2,,GroundStationNode,2216,100,100.0,292.1705959145328,,,,
2236,True,object-det,2,,GroundStationNode,2216,100,150.0,0.0,175.0,193.6735140943242,,
2236,True,prepare-ds,2,,GroundStationNode,2217,100,100.0,171.5270453764001,,,,
2236,True,extract-frames,2,,GroundStationNode,2217,100,100.0,15.5979875805707,,,,
2236,True,object-det,2,,GroundStationNode,2217,100,150.0,0.0,175.0,180.60369843749703,,
2236,True,prepare-ds,3,,GroundStationNode,2217,100,100.0,0.0,,,,
2236,True,extract-frames,2,,GroundStationNode,2217,100,100.0,201.6489014297379,,,,
2236,True,object-det,3,,GroundStationNode,2217,100,150.0,0.0,175.0,211.18916076406282,,
2236,True,prepare-ds,3,,GroundStationNode,2217,100,100.0,0.0,,,,
