total_nodes,success,task,scheduling_duration_msec,failure_reason,target_node_type,target_node,score,avg_pred_latency_slo,avg_pred_latency,avg_data_latency_slo,avg_data_latency,deg_C_over_recommended,deg_C_over_max
3354,True,extract-frames,4,,GroundStationNode,3324,100,100.0,242.54027320400928,,,,
3354,True,object-det,4,,GroundStationNode,3324,100,150.0,0.0,175.0,233.8808958604952,,
3354,True,prepare-ds,4,,GroundStationNode,3324,100,100.0,0.0,,,,
3354,True,extract-frames,4,,GroundStationNode,3324,100,100.0,120.47123514918222,,,,
3354,True,object-det,4,,GroundStationNode,3324,100,150.0,0.0,175.0,233.96827972211494,,
3354,True,prepare-ds,4,,GroundStationNode,3324,100,100.0,0.0,,,,
3354,True,extract-frames,3,,GroundStationNode,3324,100,100.0,204.24870895846217,,,,
3354,True,object-det,4,,GroundStationNode,3324,100,150.0,0.0,175.0,231.72531538640183,,
3354,True,prepare-ds,4,,GroundStationNode,3325,100,100.0,59.47744814015391,,,,
3354,True,extract-frames,4,,GroundStationNode,3325,100,100.0,190.79905395369147,,,,
3354,True,object-det,4,,GroundStationNode,3325,100,150.0,0.0,175.0,152.14138629459185,,
3354,True,prepare-ds,20,,GroundStationNode,3325,100,100.0,0.0,,,,
3354,True,extract-frames,3,,GroundStationNode,3325,100,100.0,188.18045427977125,,,,
3354,True,object-det,3,,GroundStationNode,3325,100,150.0,0.0,175.0,179.058197853409,,
3354,True,prepare-ds,4,,GroundStationNode,3325,100,100.0,0.0,,,,
