total_nodes,success,task,scheduling_duration_msec,failure_reason,target_node_type,target_node,score,avg_pred_latency_slo,avg_pred_latency,avg_data_latency_slo,avg_data_latency,deg_C_over_recommended,deg_C_over_max
2236,True,extract-frames,2,,SatelliteNode,1150,100,100.0,210.422533904559,,,2.9000000000000057,-7.099999999999994
2236,True,object-det,2,,SatelliteNode,885,100,150.0,157.13073211895068,175.0,203.75931831639335,-46.0,-56.0
2236,True,prepare-ds,2,,SatelliteNode,364,100,100.0,173.39966647954512,,,-38.15,-48.15
2236,True,extract-frames,3,,SatelliteNode,1148,100,100.0,42.84451255971983,,,-18.1,-28.1
2236,True,object-det,2,,SatelliteNode,909,100,150.0,152.85811678737264,175.0,212.09477971096845,-1.0,-11.0
2236,True,prepare-ds,2,,SatelliteNode,178,100,100.0,148.46223165554056,,,-52.15,-62.15
2236,True,extract-frames,2,,SatelliteNode,1429,100,100.0,207.26767830134708,,,2.9000000000000057,-7.099999999999994
2236,True,object-det,2,,SatelliteNode,1511,100,150.0,27.591308927675303,175.0,177.81580419942046,-46.0,-56.0
2236,True,prepare-ds,2,,SatelliteNode,75,100,100.0,229.95427038450367,,,4.849999999999994,-5.150000000000006
2236,True,extract-frames,2,,SatelliteNode,1859,100,100.0,172.6286081806095,,,2.9000000000000057,-7.099999999999994
2236,True,object-det,17,,SatelliteNode,1141,100,150.0,198.66271946925764,175.0,211.10122181695903,-1.0,-11.0
2236,True,prepare-ds,2,,SatelliteNode,177,100,100.0,254.3657592500332,,,-52.15,-62.15
2236,True,extract-frames,3,,SatelliteNode,1784,100,100.0,125.1464753007119,,,-18.1,-28.1
2236,True,object-det,2,,SatelliteNode,588,100,150.0,256.77417303158273,175.0,251.62486375063634,-1.0,-11.0
2236,True,prepare-ds,3,,SatelliteNode,317,100,100.0,123.31920722192466,,,4.849999999999994,-5.150000000000006
