total_nodes,success,task,scheduling_duration_msec,failure_reason,target_node_type,target_node,score,avg_pred_latency_slo,avg_pred_latency,avg_data_latency_slo,avg_data_latency,deg_C_over_recommended,deg_C_over_max
3354,True,extract-frames,4,,SatelliteNode,287,100,100.0,121.5954230537392,,,2.9000000000000057,-7.099999999999994
3354,True,object-det,20,,SatelliteNode,1893,100,150.0,204.5779697327823,175.0,129.7611848254464,-46.0,-56.0
3354,True,prepare-ds,4,,SatelliteNode,2533,100,100.0,112.31714907439802,,,-38.15,-48.15
3354,True,extract-frames,4,,SatelliteNode,2546,100,100.0,156.1800031509377,,,2.9000000000000057,-7.099999999999994
3354,True,object-det,4,,SatelliteNode,919,100,150.0,208.71466792179697,175.0,170.4355185618956,-46.0,-56.0
3354,True,prepare-ds,4,,SatelliteNode,1930,100,100.0,114.82257716142607,,,4.849999999999994,-5.150000000000006
3354,True,extract-frames,3,,SatelliteNode,2027,100,100.0,58.290509914172304,,,-18.1,-28.1
3354,True,object-det,3,,SatelliteNode,141,100,150.0,194.50109586605302,175.0,180.49903661169907,-1.0,-11.0
3354,True,prepare-ds,19,,SatelliteNode,2925,100,100.0,165.3893402599803,,,4.849999999999994,-5.150000000000006
3354,True,extract-frames,3,,SatelliteNode,1493,100,100.0,176.1168641321921,,,2.9000000000000057,-7.099999999999994
3354,True,object-det,3,,SatelliteNode,1619,100,150.0,11.812078490349853,175.0,160.95577287077097,-46.0,-56.0
3354,True,prepare-ds,4,,SatelliteNode,1945,100,100.0,86.85090998460572,,,4.849999999999994,-5.150000000000006
3354,True,extract-frames,4,,SatelliteNode,2390,100,100.0,138.20857167858497,,,-18.1,-28.1
3354,True,object-det,3,,EdgeNode,3121,100,150.0,160.89263595027708,175.0,177.1362724915437,,
3354,True,prepare-ds,4,,SatelliteNode,2639,100,100.0,48.410205442236226,,,-52.15,-62.15
